,course_id,semester,course,section,studentCount
0,SP2022_MATH2240_01,SP2022,MATH2240,01,15
1,SP2022_CLTA3180_01,SP2022,CLTA3180,01,35
2,SP2022_BIBL1100_03,SP2022,BIBL1100,03,41
3,SP2022_THEO3620_01,SP2022,THEO3620,01,18
4,SP2022_HNRS3560_01,SP2022,HNRS3560,01,13
5,SP2022_ECON2010_01,SP2022,ECON2010,01,18
6,SP2022_ENGL3510_01,SP2022,ENGL3510,01,15
7,SP2022_BIOL1060_1U,SP2022,BIOL1060,1U,25
8,SP2022_COMM3200_01,SP2022,COMM3200,01,43
9,SP2022_BIBL3260_1U,SP2022,BIBL3260,1U,24
10,SP2022_BIOL1060L_1U,SP2022,BIOL1060L,1U,19
11,SP2022_POLS4970_01,SP2022,POLS4970,01,3
12,SP2022_BSNS4600_01,SP2022,BSNS4600,01,30
13,SP2022_ARDE3950_01,SP2022,ARDE3950,01,15
14,SP2022_COMP4980_01,SP2022,COMP4980,01,7
15,SP2022_ENGL2220_01,SP2022,ENGL2220,01,28
16,SP2022_NURS4040_01,SP2022,NURS4040,01,37
17,SP2022_KINE1000_01,SP2022,KINE1000,01,39
18,SP2022_CHEM1210L_01,SP2022,CHEM1210L,01,50
19,SP2022_BIOL2030L_01,SP2022,BIOL2030L,01,59
20,SP2022_NURS4010L_01,SP2022,NURS4010L,01,15
21,SP2022_EDUC2250_1U,SP2022,EDUC2250,1U,4
22,SP2022_ARDE4950_01,SP2022,ARDE4950,01,11
23,SP2022_HIST2030_1U,SP2022,HIST2030,1U,19
24,SP2022_SOWK4981_01,SP2022,SOWK4981,01,8
25,SP2022_KINE1000L_05,SP2022,KINE1000L,05,16
26,SP2022_EDUC2110_1L,SP2022,EDUC2110,1L,16
27,SP2022_BIBL4445_1R,SP2022,BIBL4445,1R,9
28,SP2022_EDUC2250_1L,SP2022,EDUC2250,1L,7
29,SP2022_PHIL2030_01,SP2022,PHIL2030,01,34
30,SP2022_NURS4010_01,SP2022,NURS4010,01,26
31,SP2022_CLTA1550_01,SP2022,CLTA1550,01,50
32,SP2022_PHYS1060_01,SP2022,PHYS1060,01,18
33,SP2022_SOWK2851_01,SP2022,SOWK2851,01,25
34,SP2022_PHYS4980_01,SP2022,PHYS4980,01,1
35,SP2022_THEO2100_01,SP2022,THEO2100,01,38
36,SP2022_THEO3630_01,SP2022,THEO3630,01,29
37,SP2022_NURS4040L_04,SP2022,NURS4040L,04,6
38,SP2022_THEO3730_01,SP2022,THEO3730,01,25
39,SP2022_BIOL4980_01,SP2022,BIOL4980,01,17
40,SP2022_PHIL3600_01,SP2022,PHIL3600,01,40
41,SP2022_PSYC3640_01,SP2022,PSYC3640,01,9
42,SP2022_EDUC4950_01,SP2022,EDUC4950,01,41
43,SP2022_MILS2500_01,SP2022,MILS2500,01,15
44,SP2022_CHEM4980_01,SP2022,CHEM4980,01,2
45,SP2022_PHIL3080_1U,SP2022,PHIL3080,1U,18
46,SP2022_HIST1030_1U,SP2022,HIST1030,1U,23
47,SP2022_SPAN1020_01,SP2022,SPAN1020,01,8
48,SP2022_KINE1000L_01,SP2022,KINE1000L,01,15
49,SP2022_BIBL1105_1U,SP2022,BIBL1105,1U,20
50,SP2022_KINE1000_02,SP2022,KINE1000,02,34
51,SP2022_KINE1000L_06,SP2022,KINE1000L,06,15
52,SP2022_THEO4900_01,SP2022,THEO4900,01,13
53,SP2022_GEOG1050_01,SP2022,GEOG1050,01,17
54,SP2022_NURS4114_1L,SP2022,NURS4114,1L,2
55,SP2022_CHEM2220L_01,SP2022,CHEM2220L,01,24
56,SP2022_CHEM2220_01,SP2022,CHEM2220,01,24
57,SP2022_PHYS2110L_01,SP2022,PHYS2110L,01,33
58,SP2022_THEO2100_03,SP2022,THEO2100,03,39
59,SP2022_COMM1210_02,SP2022,COMM1210,02,21
60,SP2022_PRTH2405_1R,SP2022,PRTH2405,1R,6
61,SP2022_MUSC3270_01,SP2022,MUSC3270,01,9
62,SP2022_CHEM1210_01,SP2022,CHEM1210,01,51
63,SP2022_PHYS2110_01,SP2022,PHYS2110,01,34
64,SP2022_HIST2040_01,SP2022,HIST2040,01,32
65,SP2022_HNRS2560_01,SP2022,HNRS2560,01,19
66,SP2022_MATH1400_01,SP2022,MATH1400,01,9
67,SP2022_THEO2105_1U,SP2022,THEO2105,1U,26
68,SP2022_COMM1210_03,SP2022,COMM1210,03,23
69,SP2022_NURS4040L_02,SP2022,NURS4040L,02,7
70,SP2022_POLS1030_01,SP2022,POLS1030,01,20
71,SP2022_COMM1210_01,SP2022,COMM1210,01,20
72,SP2022_ENGL2430_01,SP2022,ENGL2430,01,20
73,SP2022_MUSC1010_1U,SP2022,MUSC1010,1U,26
74,SP2022_MATH2510_01,SP2022,MATH2510,01,12
75,SP2022_ENGR3410_01,SP2022,ENGR3410,01,12
76,SP2022_BIOL2230L_01,SP2022,BIOL2230L,01,41
77,SP2022_THEO3710_01,SP2022,THEO3710,01,23
78,SP2022_BSNS2330_01,SP2022,BSNS2330,01,28
79,SP2022_BIOL2230_01,SP2022,BIOL2230,01,42
80,SP2022_HIST1070_01,SP2022,HIST1070,01,51
81,SP2022_BIOL2030_01,SP2022,BIOL2030,01,62
82,SP2022_BIBL1100_02,SP2022,BIBL1100,02,45
83,SP2022_THEO2100_02,SP2022,THEO2100,02,37
84,SP2022_BIBL1100_01,SP2022,BIBL1100,01,44
85,SP2022_KINE4970_01,SP2022,KINE4970,01,14
86,SP2022_PHIL3620_01,SP2022,PHIL3620,01,15
87,SP2022_KINE1000L_02,SP2022,KINE1000L,02,27
88,SP2022_PHIL2020_01,SP2022,PHIL2020,01,37
89,SP2022_COMM1210_04,SP2022,COMM1210,04,22
90,SP2022_BIOL1010_01,SP2022,BIOL1010,01,49
91,SP2022_BIOL1010L_01,SP2022,BIOL1010L,01,44
92,SP2022_HIST3480_1U,SP2022,HIST3480,1U,20
93,SP2022_SPAN2020_01,SP2022,SPAN2020,01,6
94,SP2022_PSYC1550_01,SP2022,PSYC1550,01,39
95,SP2022_KINE1000L_03,SP2022,KINE1000L,03,26
96,SP2022_KINE1000_3L,SP2022,KINE1000,3L,35
97,SP2022_BSNS4980_01,SP2022,BSNS4980,01,27
98,SP2022_KINE1000L_04,SP2022,KINE1000L,04,9
99,SP2022_HUMN1020_01,SP2022,HUMN1020,01,19
100,SP2022_PHYS1060L_01,SP2022,PHYS1060L,01,9
101,SP2022_PSYC2100_01,SP2022,PSYC2100,01,34
102,SP2022_ENGL3510_1U,SP2022,ENGL3510,1U,11
103,SP2022_KINE1005_1U,SP2022,KINE1005,1U,22
104,SP2022_NURS4010L_02,SP2022,NURS4010L,02,10
105,SP2022_PRTH2420_01,SP2022,PRTH2420,01,12
106,SP2022_ENGL2410W_1U,SP2022,ENGL2410W,1U,19
107,SP2022_ARDE2020_01,SP2022,ARDE2020,01,46
108,SP2022_HIST1040_01,SP2022,HIST1040,01,31
109,SP2022_MUSC2020_01,SP2022,MUSC2020,01,24
110,SP2022_PHYS1120_01,SP2022,PHYS1120,01,11
111,SP2022_COMM1210_1U,SP2022,COMM1210,1U,23
112,SP2022_HUMN4015_1U,SP2022,HUMN4015,1U,7
113,SP2022_NURS4040L_03,SP2022,NURS4040L,03,12
114,SP2022_HIST1040_02,SP2022,HIST1040,02,34
115,SP2022_NURS4040L_01,SP2022,NURS4040L,01,12
116,SP2022_BSNS4985_7X,SP2022,BSNS4985,7X,6
117,SP2022_ENGL1035L_1U,SP2022,ENGL1035L,1U,3
118,SP2022_ENGL4980_01,SP2022,ENGL4980,01,3
119,SP2022_ENGL1035_1U,SP2022,ENGL1035,1U,11
120,SP2022_PSYC4010_01,SP2022,PSYC4010,01,6
121,SP2022_NURS4121_1L,SP2022,NURS4121,1L,3
122,SP2022_HIST4970_01,SP2022,HIST4970,01,3
123,SP2022_KINE2640G_01,SP2022,KINE2640G,01,10
124,SP2022_THEO4905_1R,SP2022,THEO4905,1R,7
125,SP2022_COMM2030_1U,SP2022,COMM2030,1U,9
126,SP2022_PHYS1120L_01,SP2022,PHYS1120L,01,11
127,SP2022_EDUC3310_1L,SP2022,EDUC3310,1L,6
128,SP2022_CRIM4010_01,SP2022,CRIM4010,01,9
129,SP2022_ENGR4972_01,SP2022,ENGR4972,01,12
130,SP2022_COMM2030_01,SP2022,COMM2030,01,28
